iter	Passed	Remaining
0	108	10720
1	157	7709
2	207	6706
3	266	6385
4	322	6128
5	379	5943
6	432	5752
7	482	5550
8	530	5366
9	583	5251
10	633	5125
11	692	5080
12	752	5035
13	814	5005
14	871	4937
15	919	4829
16	973	4750
17	1023	4661
18	1073	4577
19	1126	4505
20	1175	4421
21	1223	4338
22	1275	4268
23	1339	4240
24	1400	4202
25	1460	4157
26	1510	4083
27	1560	4011
28	1608	3937
29	1657	3866
30	1704	3794
31	1752	3725
32	1800	3656
33	1849	3590
34	1899	3528
35	1957	3479
36	2017	3435
37	2078	3391
38	2133	3337
39	2182	3274
40	2230	3210
41	2278	3146
42	2328	3086
43	2387	3038
44	2447	2990
45	2508	2944
46	2562	2890
47	2611	2829
48	2661	2769
49	2727	2727
50	2786	2677
51	2838	2620
52	2887	2560
53	2940	2504
54	2990	2446
55	3037	2386
56	3088	2329
57	3135	2270
58	3183	2212
59	3230	2153
60	3279	2096
61	3326	2038
62	3378	1984
63	3426	1927
64	3484	1876
65	3545	1826
66	3607	1777
67	3666	1725
68	3728	1674
69	3788	1623
70	3851	1573
71	3912	1521
72	3964	1466
73	4017	1411
74	4079	1359
75	4142	1308
76	4203	1255
77	4259	1201
78	4308	1145
79	4355	1088
80	4406	1033
81	4468	980
82	4527	927
83	4587	873
84	4651	820
85	4714	767
86	4776	713
87	4836	659
88	4887	604
89	4946	549
90	5010	495
91	5067	440
92	5128	386
93	5186	331
94	5234	275
95	5282	220
96	5330	164
97	5377	109
98	5425	54
99	5473	0
